customer_id,recency,frequency,monetary,avg_order_value,spend_cv,category_entropy,n_categories,trend_score,avg_purchase_gap,gap_std,persona
1,2,26,7344.43,282.48,0.303,1.3714,4,2807.725,2.72,3.93,premium
2,4,30,8108.34,270.28,0.3364,1.7001,6,0.0,1.1,1.23,premium
3,33,14,4011.51,286.54,0.2914,1.277,4,442.567,10.77,13.43,premium
4,9,12,3218.25,268.19,0.2515,1.0397,3,572.397,7.73,10.23,premium
5,28,15,4318.52,287.9,0.4364,1.2454,4,-89.935,3.79,4.1,premium
6,3,25,7097.68,283.91,0.277,1.5866,5,0.0,2.33,3.12,premium
7,14,31,8550.5,275.82,0.277,1.5391,5,2560.515,2.13,3.82,premium
8,11,22,7080.07,321.82,0.2319,1.0671,3,2504.24,3.29,5.18,premium
9,18,31,8854.32,285.62,0.3188,1.5135,5,0.0,1.4,3.29,premium
10,24,20,6284.45,314.22,0.2079,1.5842,5,190.375,3.21,4.34,premium
11,10,30,8853.74,295.12,0.3103,1.3751,4,3947.045,2.48,8.86,premium
12,28,22,6239.69,283.62,0.3125,1.3513,4,520.585,2.76,6.32,premium
13,28,32,8721.52,272.55,0.2947,1.5132,5,722.475,1.55,2.88,premium
14,13,14,4272.12,305.15,0.2919,1.5741,5,429.919,8.69,10.66,premium
15,30,8,2313.72,289.22,0.3108,1.3209,4,5.49,5.57,5.94,premium
16,16,25,7134.9,285.4,0.3236,1.3625,4,1229.512,3.21,4.41,premium
17,11,28,7932.54,283.3,0.2614,1.5495,5,2873.995,1.89,2.86,premium
18,25,26,8096.83,311.42,0.2693,1.0579,3,724.16,2.04,2.23,premium
19,2,27,7418.21,274.75,0.3691,1.2898,4,3637.895,2.5,7.71,premium
20,20,37,10792.65,291.69,0.2899,1.3402,4,0.0,1.03,1.65,premium
21,27,23,6653.65,289.29,0.2686,1.3538,4,922.35,2.32,5.71,premium
22,35,23,6258.38,272.1,0.3695,1.6817,6,0.0,1.64,2.26,premium
23,27,32,8500.12,265.63,0.3323,1.3824,4,803.555,1.35,1.84,premium
24,17,16,4847.92,303.0,0.2191,1.3705,4,826.48,4.67,5.35,premium
25,8,31,8342.35,269.11,0.2692,1.3291,4,0.0,1.5,1.81,premium
26,31,11,2814.38,255.85,0.1576,1.3421,4,887.705,6.8,8.36,premium
27,30,16,4248.96,265.56,0.3075,1.7214,6,-183.92,2.73,2.89,premium
28,38,20,5396.8,269.84,0.2259,1.2899,4,1504.22,3.63,3.67,premium
29,26,19,5207.15,274.06,0.2251,1.649,6,556.81,3.06,6.32,premium
30,29,39,11182.65,286.73,0.2199,1.3773,4,907.485,0.95,2.95,premium
31,24,27,7336.63,271.73,0.2889,1.311,4,1132.275,1.85,4.42,premium
